Job Titles,Company Names,Experience Required,Package,Locations,Skills
Chain Analytics - DeFi,Coindcx,3-7 Yrs,Not disclosed,Hybrid - Mumbai,Online Reputation ManagementSocial ListeningManagementMediaReputation ManagementSocial mediaORM
AI/ML Team Lead,Evoluteiq,4-5 Yrs,Not disclosed,Bangalore/Bengaluru,architectAzure purviewAzure FunctionsSQL AzureArchitectureSQLFunctionalMicrosoft Azure
Talend Consultant with SQL - Bangalore,Talent Corner Hr Services,2-4 Yrs,16-30 Lacs PA,Bangalore/Bengaluru,MIS PreparationPower BiMIS GenerationAdvanced ExcelExcelBiMISGeneration
PYTHON,Diverse Lynx,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceLoad testingTest scriptsJavascriptPerformance testingWindowsSeleniumTest cases
Computer Vision/Image Processing Expert - C/C++,Career Maker,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceLoad testingTest scriptsJavascriptPerformance testingWindowsSeleniumTest cases
Google Analytics Specialist,No Joke Marketing,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,Ibm Cognos Tm1Cognos Tm1Financial ReportingPlanning AnalyticsFP&APAXPAWIBM Planning Analytics by TM1
Google Analytics Specialist,Radius Agent,1-6 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisAutomationFront endProject managementAnalyticalPharmaResource allocationBioinformatics
Commercial,Global Talent Exchange,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,UnixAnalytical skillsApplication supportAutomationLinuxDebuggingTechnology LeadFinancial services
Simulation Manager,Value Vision Management Consultants,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,Statistical programmingData analysisClaimsData managementPharmaAnalyticalData miningMonitoring
Machine Learning - Manager (Diversity Candidates),Value Vision Management Consultants,2-6 Yrs,12-17 Lacs PA,Bangalore/Bengaluru,Operations researchClaimsData managementCodingPharmaBusiness analyticsConsultingHealthcare
Monitoring Associate,Noora Health,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,Career developmentRisk assessmentJavascriptAgileTeam LeaderTroubleshootingStakeholder managementTesting
Python Professional,Ideslabs,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Career developmentRisk assessmentJavascriptAgileTeam LeaderTroubleshootingStakeholder managementTesting
Research Associate,Selco Foundation,3-4 Yrs,Not disclosed,Hyderabad/Secunderabad,Solution ArchitectingSolution DesignSolution ConsultingTechnical architectureConsultingDesignTechnicalArchitecting
Consumer Markets - Analytics Manager,Value Vision Management Consultants,6-12 Yrs,Not disclosed,Pune,ERPData validationTeam managementAnalyticalReconciliationBusiness intelligenceForecastingCRM
Adobe Analytics,TRH Consultancy Services,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Unifier WebservicesAconexP6 EPPMuDesignerIntegationConfigurationTechno FunctionalPrimavera Unifier
Python Automation Tester,Coders Brain Pvt Ltd,10-20 Yrs,Not disclosed,Hyderabad/Secunderabad,Adamsclinical trialsSdtmMacrosTLFSASRemoteManagement
SAP Analytics Cloud Consultant,Adecco Group,2-4 Yrs,Not disclosed,"Gandhinagar, Gujarat",Analytics DataLife Cyclenative HANA V2.0SAP BW - BW 7.5 on HANA V2.0End To EndDigital TransformationDataAnalytics
Business Analyst_AC,Wissda Inc,5-10 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra",Computer scienceERPAutomationBusiness objectsSAPagile project managementMacrosSQL
Customer Analytics - L10,Stalwart Management Consulting,3-7 Yrs,Not disclosed,Chennai,global operationsFinancial statementsTransfer pricingpower biInvestment bankingAsset managementStakeholder managementInformation technology
NLP Expert,Brane Enterprises,4-6 Yrs,Not disclosed,Chennai,Operations researchOperational excellenceSASProject managementCustomer serviceRisk managementBusiness intelligenceFinancial services
Consultant,Draup,9-14 Yrs,Not disclosed,Remote,ProcurementComputer scienceSolution architectureArchitectureAgileSystem designApplication developmentScrum
Monitoring and Evaluation Officer,Quest Alliance (quality Eduaction And Skills Training Alliance),5-7 Yrs,Not disclosed,Chennai,CROCodingInvestment bankingAsset managementmicrosoftRisk managementFinancial servicesCRM
Consultant,Analytic Edge,8-12 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana",Data managementBusiness analysisProject managementRelationship buildingBusiness analyticsAnalyticalPharma marketingCustomer service
Bio Statistician,Sitero,7-12 Yrs,6-9 Lacs PA,"Hybrid - Pune, Maharashtra(Kalyani Nagar)",HR analyticsAttrition modelHR MISHr ReportingHR digitizationAnalyticsMISAttrition
Python Automation,Unify Technologies,5-9 Yrs,Not disclosed,"Ranchi, Jharkhand",DatabricksData Bricks
Python Automation,Skillety,1-4 Yrs,Not disclosed,Remote,MLOPSDeploymentCi/CdML modelMachine LearningJenkinsKubernetesCd
Oracle Analytics Cloud (OAC) professional,TRH Consultancy Services,2-5 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Pune",Product managementEnterprise applicationssparkWeb developmentMachine learningManagementOpen sourceIndividual Contributor
Manager - Machine Learning / R / MATLAB,Career Maker,1-4 Yrs,Not disclosed,"Ahmedabad, Chennai",SANData analysisC++AnalyticalBusiness intelligenceInformation technologyAnalyticsSQL
Business Analytics Associate Architect,Ralph Lauren,5-10 Yrs,Not disclosed,"Mumbai, Navi Mumbai",Data analysisTechnical operationsFinancial reportingSales operationsCodingBillingBack officeInfrastructure
SQL DB Architect,EVRY India,15-17 Yrs,Not disclosed,Mumbai (All Areas),AutomationPrototypeCodingSCALAInstrumentationOpen sourceData miningAnalytics
Campaign Metrics Specialist,Calix,4-14 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana",NetworkingCodingEnterprise applicationsJavascriptAgileMentorTeam LeaderApache
R&D/Architect - Biometric Expert- Image Processing/Pattern Recognition,Career Maker,3-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai",Image ProcessingBiometricsR&DJavaC++RPattern RecognitionC
R&D Expert - NLP/Machine Learning - Java/C#/C++/Python/Perl,Career Maker,2-5 Yrs,Not disclosed,Pune(Baner),AudioSpeech ProcessingDSPTensorflowSpeech RecognitionC++Audio ProcessingMachine LearningAlgorithm
Computer Vision/Machine Learning Expert - C/C++,Career Maker,2-4 Yrs,Not disclosed,"Nagpur, Maharashtra, Pune, Maharashtra",UI developmentC++Access managementCloudAgileDeploymentManagementAWS
Compiler Expert - MLIR/LLVM/TVM,Career Maker,4-8 Yrs,Not disclosed,Hybrid - Mumbai (All Areas),GCPDeploymentManagementSSLPythonSecurityTerraform
Test scripting & Automation scripting using python,Elfonze Technologies,2-7 Yrs,Not disclosed,Coimbatore,FTPScript writingDeltaPLCSiemensSensorsVBProject handling
Machine Learning Instructor,Campalin Innovations,2-6 Yrs,Not disclosed,Remote,Computer visionProduct engineeringImage processingMachine learningData collectionPattern recognitionBusiness intelligenceIPS
Technician Spark EDM,AARNA HR SOLUTIONS PVT. LTD.,6-9 Yrs,Not disclosed,Hybrid - Pune(Viman Nagar),Engineer IIComputer scienceMavenGITPowershellMachine learningVirtualizationForecasting
BA Reg Report,Tekfortune It,4-5 Yrs,Not disclosed,Hyderabad/Secunderabad,Power BIData TransformationRETL processesdata warehousingDAXTableauQlikView
AI Architect,Sony Pictures,3-4 Yrs,Not disclosed,Hyderabad/Secunderabad,SIDECRUDAutomationExcelProgrammingSeleniumAWSTesting
Assistant Statistician,St. Johns Research Institute,4-7 Yrs,Not disclosed,Remote,ASRBiometricsdeep learningNeural networksMachine learningSignal processingManager TechnologyBusiness solutions
Lead Statistician,St. Johns Research Institute,6-11 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram,Analytical skillssoftware architectureSoftware designMachine learningProgrammingMentormodel developmentObject oriented programming
"Manager, Machine Learning",PubMatic,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,GITRDBMSCodingConfiguration managementAnalyticalJavascriptAgile methodologySelenium
Technical lead Machine Learning,T3cogno,3-9 Yrs,Not disclosed,Hyderabad/Secunderabad,BackendLinuxWeb testingDebuggingAgileTest casesJIRAAutomotive
Automation Python,Ideslabs,5-10 Yrs,Not disclosed,Pune,tableauActive directoryDNSManagementTroubleshootingMonitoringSQLFirewall
MSTR JD Professional,Ideslabs,3-6 Yrs,Not disclosed,"Mumbai, Navi Mumbai",Cloud computingLinuxStaffingShell scriptingWindowsFirmwareSensorsMonitoring
Microstrategy Tableau,Ideslabs,3-8 Yrs,Not disclosed,Chennai,Business AnalystAnalyticalAgileHealthcareGeneticsCost estimationUS healthcareDocumentation tools
MIS Executive,Alliance University,2-7 Yrs,Not disclosed,Remote,PrototypeNetwork designNetworkingHardware designMachine learningComputer architectureManager TechnologyScheduling
Consultant - Clinical Operations Analytics,Eli Lilly And Company,4-5 Yrs,Not disclosed,"Thane, Mumbai (All Areas)",tableauFinanceOOPSDBMSSSISData warehousingAnalyticsSQL
SNOW-BA-Contract To hire-For Zensar Technology,Orcapod Consulting Services,1-2 Yrs,Not disclosed,Remote,SANFront endLinuxPostgresqlDebuggingData structuresHTMLTroubleshooting
Assistant Manager- PBNA Customer,Pepsi Foods,3-8 Yrs,Not disclosed,Remote,Supply chainAutomationProject managementTrend analysisData processingData qualityInformation managementData mining
Power BI Professional,Diverse Lynx,12-16 Yrs,Not disclosed,Mysore/Mysuru,VMwareAutomationLinuxDebuggingPerformance testingTest casesTroubleshootingPython
NLP / Machine Learning,Pinnacle Consultz,3-5 Yrs,Not disclosed,Mysore/Mysuru,Computer sciencePartner managementTelecomDelivery managementPeople management skillsAgileSubject matter expertiseOracle
MIS managers,Surface Technologies,2-5 Yrs,Not disclosed,Mumbai,Algorithm Developmentmachine learningkubeflowDevelopmentArtificial IntelligenceSeniorAlgorithmsProgram
Web Analytics Specialist,Brandfame,1-5 Yrs,Not disclosed,Pune,MIS ReportingPivot TableVLOOKUPConditional FormattingHLOOKUPMacrosReportingSR
Architect - Global Cyber OT Risk,Pepsi Foods,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,AlteryxSQLPower BITableauDevelopmentBi
AI Solution Manager- Oil & Gas,C3 AI,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,data sourcesdata analysisperformance tuningdashboard developmentdata miningconsultingbipower bi
AI Solution Architect (Pre-Sales),C3 AI,1-2 Yrs,Not disclosed,Bangalore/Bengaluru,IT servicesSANSOCApacheAnalyticsSQLCRMPython
Google Analytics Professional,Diverse Lynx,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisGoogle AnalyticsExcelProcess efficiencyTool designAdobeJapaneseGaming
Biostatistician,Healthplix Technologies,2-5 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Power BIDevelopmentBi
Marketing Mix Modeling Consultant,Aryma Labs,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,JavaC++JavascriptHtml/CssCJavasHTMLCSS
Associate Architect - Machine Learning,Quantiphi Analytics Solutions,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Databricks ClustersTerraformAWSbamboo CI/CDRest Api DesignAzureGCPCI/CD
Survey Programmer,Sigma Allied Services,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,Data ManagementAnalyticalAnalytical InstrumentsManagementDataInstrumentsAnalyticsSenior
Bio-statistician Division of Nutrition Project,St. JohnÃ¢Â?Â?s Research Institute,6-9 Yrs,Not disclosed,Bangalore/Bengaluru,Power BiKPIPower Bi DesktopBiDesktopDevelopment
Business Research Executive,RIMEINFO INDIA PRIVATE LIMITED,1-4 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Business IntelligenceAzureStatistical analysisPower BiBI DeveloperData CleansingData miningSQL
Lead Consultant,Skillety,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,T-SQLPower Platformpower automateSSISPowerappsSSRSdataversePython
Machine Learning,Skillety,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,Business processProcurementAutomationSAPData managementProcess improvementAnalyticalData collection
Hadoop Administrator,Diverse Lynx,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,QlikBusiness Intelligence ReportingQlik SenseMashupQlik NprintingQlik Sense DevelopmentSQLDevelopment
Google optimize specialist,Increasingly Technologies,3-6 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka(Electronic City)",AzureData FactorySAPPower BIDatafactoryFactoryMicrosoft AzureData
Software Quality Assurance,Marlabs,12-14 Yrs,8-18 Lacs PA,Bangalore/Bengaluru,SSRSSQL Server Reporting ServicesMSBIDevelopmentServSQL ServerServerSQL
MIS Manager-Spare parts(Automobile),Talent Corner HR Services Pvt Ltd,2-7 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",Qlik Sense DevelopmentQliksenseDashboard DevelopmentDashboardsETLSQLQlikViewQlik
Machine Learning Researcher,Satsure Analytics India,3-5 Yrs,4-5 Lacs PA,Bangalore/Bengaluru,SnowflakePythonSQLGithubDBTDevelopment
Insurance BA,EVRY India,3-7 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru",QliksenseBusiness IntelligenceMigrationBiQlikViewQlikview DevelopmentQlik Sense DevelopmentData Warehousing
Global Support,E2Open,7-9 Yrs,Not disclosed,Bangalore/Bengaluru,pythonubuntuOpenVINOVisionAIPyTorchOpenCVKerasTensorRT
Assistant Growth Manager,Jar App,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,Rest APIPandasPythonFlaskData Structures And AlgorithmsDesign PatternsData StructuresMysql Database
AVP- Model Development - Credit Risk & Capital,First Abu Dhabi Bank Pjsc,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,Power BiSQLSalesforceReports And DashboardsAlteryxReportingDevelopmentDashboards
Power BI- Shweta Goyal,Xpheno,3-6 Yrs,Not disclosed,"Hybrid - Bangalore/ Bengaluru, Karnataka",Computer scienceBackendSoftware designData modelingMachine learningInstrumentationForecastingAnalytics
Power BI-AJ,Xpheno,4-8 Yrs,Not disclosed,Chennai,AdministrationAutomationProduct engineeringCodingAccess managementData modelingAnalyticsDownstream
Analytics Delivery Manager,Xpheno,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,Service managementData analysisBusiness analysisPostgresqlPerlBusiness intelligenceJIRAAnalytics
SSIS Power BI Lead,Pegasus Knowledge Solutions India,2-5 Yrs,Not disclosed,"Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",Data analysistableauAnalyticalAgileData structurespower bidata visualizationSQL
Statistical Programmer,Clario,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Version controlGITProject managementAnalyticalData qualityBusiness intelligenceAnalyticsMonitoring
Statistical Programmer,Bioclinica,2-6 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru",AutomationProduct engineeringVersion controlCodingData modelingCateringAnalyticsDownstream
Target Business Consultant,NR Consulting,8-15 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru",Computer scienceData analysisInterpersonal skillsNeural networksConflict resolutionMachine learningGeneticsData mining
Principal SAS Programmer,Eclinical Solutions,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Production supportData modelingAnalyticalData qualityUnit testingTroubleshootingAnalyticsSQL
"Manager, Monitoring, Evaluation, Learning and Impact",Bhumi,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Interpersonal skillsSimulationReport writingConsultingOperation SupervisorHSEManagementPetrochemical
Manager - Planning & Reporting,dentsu international,8-13 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisData modelingAnalyticalDatabaseHealthcaredata visualizationAWSAnalytics
Principal Biostatistician,Veranex,4-7 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",deep learningPattern RecognitionArtificial IntelligenceImage Processingcomputer visionTensorflowpythonOpencv
sql Professionals,Diverse Lynx,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceC++LinuxNetworkingImage processingData managementMachine learningMATLAB
Billing Improvements Consultant,Colt Data Centre Services,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,Health insuranceAutomationData modelingWellnessData qualitydata privacyAnalyticsSQL
Digital Analytics Lead,Mplatform,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,PythonSenior
AI Solution Specialist,Engati,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,CloudPythonmicroservicesSenior
Aritifical Intelligence,Amrita Vishwa Vidyapeetham,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,SAPjQueryBusiness analysisCodingDebuggingJavascriptMVCmicrosoft
Digital Analytics Lead,Wavemaker,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,Due diligenceFrenchDesign reviewConsultingthermalEPCGermanSpanish
WFM Experts - Bangalore - 3 pm - 12 am,Indihire Consultants,2-8 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisSemiconductorData modelingAnalyticalSchemadata governanceData structuresdata integrity
Area Manager,Grampro Business Services,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,Object oriented designCloud computingAutomationVersion controlNoSQLData managementMachine learningAgile
Technical and Analytics head,GMR Airports Infrastructure,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Object oriented designCloud computingAutomationVersion controlNoSQLData managementMachine learningAgile
Analytics,GMR Airports Infrastructure,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Cloud computingAutomationdata securityMachine learningOpen sourceInformation technologyGamingMonitoring
PL - SQL programmer - XNG migration,Saksoft,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,MLOpsArtificial IntelligenceComputer ScienceMachine Learning AlgorithmsMachine LearningDeep LearningAlgorithmsTeam leading
Python FS Professional,Response Informatics,11-15 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",IT servicesHealth insuranceData analysisWeb analyticsAnalyticalConsultingData collectionDigital marketing
ML Architect,First American,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Adobe LaunchGoogle Tag ManagerGtmGoogle AnalyticsEnsightenWeb AnalyticsTealiumDtm
Digital Analytics Lead,Akqa,5-10 Yrs,6-13 Lacs PA,"Bangalore/ Bengaluru, Karnataka",AutomationPayrollConsultingPython
SQL Support,Loyltwo3ks,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,AutomationData analysisManager Quality AssuranceConfiguration managementData processingSchedulingSeleniumPython
Salesforce Einstein Analytics,Cignex Datamatics,7-11 Yrs,Not disclosed,Bangalore/Bengaluru,AdamCdiscStatistical ProgrammingSdtmTLFsas programmingClinical TrialsClinical
Statistical Programmer - II,Eclinical Solutions,4-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Cold callingNetworkingWeb developmentSoftware salesBusiness Development ExecutiveSales PersonDigital marketingNew business development
Statistical Programmer - I,Eclinical Solutions,10-20 Yrs,Not disclosed,Bengaluru,EconomicsData analysisLiteratureSociologyPsychologyConceptualizationproduct life cycleResearch
Opening For Web Analytics Specialist - Gallagher,Gallagher Service Center (GSC),1-4 Yrs,Not disclosed,"Hybrid - Deoghar, Jharkhand",Data analysisBusiness analyticsMachine learningdata integrityBusiness intelligenceBusiness solutionsProject deliveryPython
Computer Vision Researcher,Dolby,7-12 Yrs,Not disclosed,Bangalore/Bengaluru,Power BiMySQLSQLBi StackDaxPower QueryStackHiring
MIS EXECUTIVE,Miracle Hub,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,Usagemodel validationTranslationPrototypeArchitectureArtificial IntelligenceMachine learningData collection
Hadoop Administrator,Scalein,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,UbuntuAutomationLinuxShell scriptingMachine learningHealthcareSchedulingResource management
BI Consultant,Inexoft,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisCodingSSRSData structuresStored proceduresTroubleshootingMonitoringSoftware services
Healthcare Analytics - Manager,Value Vision Management Consultants,1-3 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Lead generationCloud ServicesMachine learningArchitectural designHealthcareMentorResearchTroubleshooting
COM-Central Compliance,Nomura Capital,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceData analysisMS SQLTeam managementProject managementClinical researchTroubleshootingBusiness intelligence
Customer Success Lead/ Lead Analytics Consultant,TEG Analytics,7-8 Yrs,Not disclosed,Bangalore/Bengaluru,HR Information SystemsuccessfactorsHRMSPeopleSoft HrmsHRISPeopleSoftWorkdayHrsd
Python Automation Lead,Coders Brain Pvt Ltd,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Product managementAdministrationProduct engineeringData analysisAnalyticalAgileHTMLForecasting
"HR-Reward, Mobility and HRMI",Nomura Capital,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,StatisticsSQLPythonHypothesis TestingRegressionAnalyticsRisk analyticsHypothesis
SQL DBA,Coders Brain Pvt Ltd,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,orchestrationAnalyticalConsultingMachine learningWorkflowSiliconCustomer engagementAnalytics
SC - Hadoop Administator,Wissda Inc,8-15 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceData analysisC++data reportingMySQLData processingRegression analysisMATLAB
PRACTICE DEVELOPMENT LEAD - ANALYTICS,Iquanti,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Oracle Business IntelligenceOBIEEOracle BIData ValidationTableauReporting ToolsSQLData Mapping
"Chatbot, Machine Learning and Artificial Intelligence",TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,2-3 Yrs,Not disclosed,Bangalore/Bengaluru,Health insuranceExcelDiversity and InclusionFocusConsultingData processingManagementPowerpoint
Python +Azure+Java professional,Coders Brain Pvt Ltd,15-16 Yrs,Not disclosed,Bangalore/Bengaluru,PowerBITableau DeveloperBusiness Intelligence DeveloperMicrosoft Power BIAlteryxPower Business IntelligencePower BI DeveloperDAX
Python Automation Selenium,Coders Brain Pvt Ltd,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisSASProcess improvementAnalyticalOracleRisk managementMacrosAnalytics
"MS.Net, SQL Server_U2VWV7 professional",Coders Brain Pvt Ltd,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,Business processData analysisConsultingFinancial planningAgilePredictive modelingScrumMerchandising
AWS Python C# .NET professional,Coders Brain Pvt Ltd,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,Google AnalyticsAnalyticalSchemaInstrumentationData miningAnalyticsMonitoringTeam building
FIN-Cost Mgt & Analytics,Nomura Capital,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,deep learningProduct engineeringPDFMySQLMachine learningAgileJSONProject handling
Tableau Administrator,Coders Brain Pvt Ltd,1-5 Yrs,Not disclosed,Bangalore/Bengaluru,Data EngineeringTalendSQLTalend Big DataTalend Open StudioDatastageTalend EtlData Extraction
Python Lead,Coders Brain Pvt Ltd,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,githubGITNoSQLGCPFront end designSchemaJavascriptAgile
Principal Statistical Programmer,Novartis,1-3 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra",Computer VisionJavaC++CImage ProcessingMachine LearningVisionMachine
Project Coordinator- Business Process,John And Smith Solutiona,1-2 Yrs,Not disclosed,"Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",Customer acquisitionGoogle AnalyticsSalesCustomer servicedata visualizationBusiness intelligenceReporting toolsSQL
Business Process,WBG Group - WBG Systems (P) Ltd,7-9 Yrs,Not disclosed,Bangalore/Bengaluru,Customer acquisitionGoogle AnalyticsSalesCustomer servicedata visualizationBusiness intelligenceReporting toolsSQL
TM Implementation,JSM TECHNOLOGIES PVT. LTD,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,IT Business AnalystPharmaproduct life cycleWorkflowTest planningTechnology implementationProject deliverycommercial sales
Pre-Sales Consultant - Business Intelligence,Germane Analytics,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,SimulationStaffingAnalyticalMachine learningAgileData processingProject deliveryAnalytics
Computer Vision Deep Learning Team Manager,Valeo,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,AutomationPrototypeAnalyticalMachine learningSignal processingData miningRoboticsAnalytics
BI Solution Architect,Coders Brain Pvt Ltd,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Data managementReport writingData collectionProgram deliveryEquityData qualitydata visualizationTroubleshooting
Python Automation,NR Consulting,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",PayrollConsultingPython
Product Development,Osprosys Software,2-4 Yrs,Not disclosed,Hyderabad/Secunderabad,ProcurementData analysisData managementRenewable energySocial scienceMISEconometricsResearch Associate
Associate Consultant,Iqvia Biotech,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,Supply chainHospitalitycustomer analyticsBusiness analyticsConsultingManagement consultingBusiness solutionsProject delivery
SQL DB - Asset Management Professional,Ascendion Engineering,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,tableaudigital marketingdigital analyticsDigital Marketing Analyticsadobe analyticsgoogle tag managerWeb DebuggingBI
BA\Functional resources.,Diverse Lynx,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,RFDebuggingAgileScrumSeleniumTest casesBusiness solutionsVirtualization
Project Coordination SQL queries,Diverse Lynx,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Sap Analytics CloudSap CloudSAP Analytics Aap SolutionSAC ConsultantClient InteractionsAnalytic AppSAP BISaps
Manager Media Analytics & Reporting,Mirum,10-11 Yrs,Not disclosed,Hyderabad/Secunderabad,ExcelBusiness AnalystBusiness analysisTime managementAnalyticalMicrosoft applicationsManagementAnalysis
Hiring For Catastrophe Modelling Experience - Gallagher Mumbai,Gallagher Center of Excellence,9-12 Yrs,Not disclosed,Bangalore/Bengaluru,Supply chaincustomer analyticsC++Web analyticsSpanishData miningDigital marketingFinancial services
Python Automation,NR Consulting,10-14 Yrs,Not disclosed,Bangalore/Bengaluru,Analytical skillssoftware architectureData analysisSoftware designGITMachine learningData structuresMongoDB
Business Systems Administrator V2,Vyzen,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,Consumer researchTelecomData analysisSemiconductorPrimary researchAnalyticalConsultingAnalytics
SAP Business Intelligence Consultant,Groupsoft,8-12 Yrs,Not disclosed,Remote,Monitoring And EvaluationEducationSkill DevelopmentReport WritingAnalyticsEvaluationWritingMonitoring
Zoho Implementation Specialist,Techvaria,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Operations researchcustomer analyticsStatistical analysisSASConsultingMS OfficeAnalyticsQuantitative analysis
Architect - IoT Solutions,Pepsi Foods,2-5 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",CROSAPSASPharmaClinical trialsClinical researchHealthcareLife sciences
Statistician,Winwire Technologies,2-7 Yrs,Not disclosed,"Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)",AutomationData analysisManager Quality AssuranceConfiguration managementData processingSchedulingSeleniumPython
Python Team-Lead,Infinit Solutions,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,AutomationData analysisManager Quality AssuranceConfiguration managementData processingSchedulingSeleniumPython
SAP Business Objects Business Intelligence,Truspeq Consulting,6-11 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka(Shivaji Nagar +1)",Oracle Analytics Cloudperformance tuningOracle BIData VisualizationData ModelingOBIEEDataCloud
OneStream Consultant,Spaulding Ridge,7-11 Yrs,Not disclosed,Bangalore/Bengaluru,Machine LearningRC++Cpredictive modelingData MiningPerlpredictive software development
Jira Admin,Diverse Lynx,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,HospitalityAccessoriesGITInfrastructure managementAccess managementInformation technologyOperationsAnalytics
