Job Titles,Company Names,Experience Required,Package,Locations,Skills
Data Governance Manager,Wipro,5-8 Yrs,Not disclosed,Remote,JavaCSSGoogle Apps ScriptZohoAPI ConnectData MigrationJASON FilesCRM
SAP Data Migration Expert,Baker Hughes,4-8 Yrs,Not disclosed,Remote,SANCloud computingAnalyticalArtificial Intelligencedata visualizationBusiness intelligenceCustomer engagementAnalytics
AVP- Data Quality and information Management,Citicorp Finance,5-8 Yrs,Not disclosed,Chennai,RCSWeb technologiesExcelInternet researchCustomer serviceComputer proficientResearchMS Office
Assistant Manager - Data COE,Hindustan Unilever Ltd,3-8 Yrs,Not disclosed,Hyderabad/Secunderabad,SQLdata analysisInvestment BankingBusiness Data ModellingData AnalyticsData modelingAnalyticsFunctional
Data Security/ Data Privacy Experts,Infosys,4-9 Yrs,Not disclosed,Hyderabad/Secunderabad,Supply chainProcurementMiningTelecomSupply chain managementBusiness analysisEPCFMCG
Manager - Data Catalog and Lineage Governance - US Tech - P&T,PwC,7-8 Yrs,Not disclosed,Hyderabad/Secunderabad,Product Implementationvendor consultantProject Management ToolsBusiness AnalysisSQL DatabaseGap AnalysisSprint PlanningBusiness Analytics
Data Analytics-AVP (ML),Deutsche Bank,3-4 Yrs,Not disclosed,Pune,Business processTelecomAutomationBusiness AnalystRevenue assuranceProcess improvementROCData analytics
Data Governance- DM/Manager,Deloitte,2-5 Yrs,Not disclosed,Chennai,Advanced ExcelVLOOKUPPivotHLOOKUPMacrosData analysisAnalysisExcel
Operations - Data Management Functional Support,Brunel,4-9 Yrs,Not disclosed,Pune,Relationship managementData analysisRisk analyticsAnalyticalFunctional AnalystBankingData analyticsInvestment banking
Data Entry Executive,Genie Exports,5-8 Yrs,Not disclosed,Mohali,Analytical skillsSystem architectureFront officeData analysisExcelReporting AnalystFunctional AnalystData analytics
Data Specialist,Impendi Analytics,5-8 Yrs,Not disclosed,Hyderabad/Secunderabad,Analytical skillsSystem architectureFront officeData analysisExcelFunctional AnalystData analyticsTraining and Development
Azure Data Engineering - Senior Programmer Analyst,Bilvantis Technologies,2-5 Yrs,Not disclosed,Ahmedabad,Analytical skillsExcelPrototypeBusiness AnalystResearchclient reportinganalytical skillclient
"Lead, Mass Enablement (Risk and Data Solutions)",Visa Inc,5-6 Yrs,Not disclosed,Mumbai,Business processSupply chainIT servicesBusiness servicescaptive unitagribusinessbig data analyticsProcess improvement
Urgent Opening For Tableau(Analytics) - Business Intelligence role,EXL,0-2 Yrs,Not disclosed,Pune,Business processSupply chainIT servicesBusiness servicesagribusinessbig data analyticsProcess improvementFunctional testing
Digital Data Manager,Accenture,4-8 Yrs,10-20 Lacs PA,Chennai,Supply chainMicrostrategyData managementMySQLData qualityOracleBusiness intelligenceOperations
Frontline Sales-Partnership Distribution,ICICI Prudential Life,0-3 Yrs,Not disclosed,Pune,SANData analysisInterpersonal skillsCampaign managementdata scienceMachine learningWellnessAccount management
Principal Data Architect- Azure,Ikonsult,0-1 Yrs,Not disclosed,Pune,Api ManagementDataframePythonFlaskPandaManagementData analysisPandas
AI Data Annotator,Mad Street Den,2-6 Yrs,Not disclosed,Chennai,UsageCustomer satisfactionSAASManager TechnologyOverhaulingOperationsAnalyticsPrivate equity
Customer Data Platform (CDP) specialist-1,Sony Corporation Of America,2-5 Yrs,Not disclosed,Mumbai,IT servicesSupply chainBusiness objectsData analysisSAPManager Quality AssuranceAgileData quality
Data Architect - Data Vault Specialist,Siemens,5-10 Yrs,Not disclosed,Kochi/Cochin,remediationData analysistelcoManualData qualityInformaticaSQLPython
Project Clinical Data Programmer,Novo Nordisk India,5-9 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra",Data Managementdata qualityData Architectinggraph technologygap analysisdata governancetext miningAPAC
Manager,Infogain,1-3 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra",Power BIdata analyticstesting toolsunit testingtest planningsolution deliverysoftware quality assuranceproject life cycle
Artificial Intelligence Scientist,Neuralsift,4-8 Yrs,Not disclosed,"Gurgaon/ Gurugram, Haryana",Data analysisData managementMachine learningdata governanceHypothesis TestingNatural language processingSeleniumdata visualization
AI Engineer,IBM,2-3 Yrs,Not disclosed,Lucknow,Artificial IntelligenceMachine LearningData ScienceDataIntelligenceTrainingMlSenior
ML Engineer - Internal,Quality Engineering Software Technologies Pvt. Ltd.,6-10 Yrs,10-13 Lacs PA,"Hybrid - Pune, Maharashtra",Electrical engineeringComputer visionRedhatData analysisPublishingNeural networksArtificial IntelligenceMachine learning
Job Opening For Data Engineer(Patent Info) @ GlobalData(Hyd),Globaldata,7-12 Yrs,Not disclosed,Mohali,Analytical skillsData validationInterpersonal skillsExcelIntellectual propertyManagementMS OfficeProject delivery
Associate Data Engineer - Pricing,Argus India Price Reporting Services,2-6 Yrs,Not disclosed,Hyderabad/Secunderabad,ExcelSQL CodingSQLOperationsData OperationsDataCodingData Operation
Data Engineer,Atlas Copco,3-8 Yrs,Not disclosed,Hyderabad/Secunderabad,Supply chainChange managementBloombergData managementBusiness analysisProcess improvementAnalyticalMonitoring
Data Engineer,Deutsche Bank,10-12 Yrs,Not disclosed,Hyderabad/Secunderabad,PayrollData migrationData validationExcelSAP HCMMS AccessHRISPeopleSoft
Data Engineer,Atlas Copco,7-12 Yrs,Not disclosed,Kochi/Cochin,SASProcess orientationBfsiBusiness managementData analyticsStakeholder managementPortfolio managementFSI
Big Data Engineer (Hadoop) - Gurgaon - MNC,Advance Talent Services,1-3 Yrs,30-45 Lacs PA,Remote,Version controlCreative directionIllustratorTime managementCross functional coordinationBusiness presentationsdata visualizationcontent marketing
Azure Data Engineer,Pepsico,2-5 Yrs,Not disclosed,Vadodara,Corporate marketingUsageSalesAnalyticalConsultingCorporateHRData analytics
Lead Data Engineer,Monetizemore,1-4 Yrs,Not disclosed,Tiruchirapalli/Trichy,Climate Change DataESG ratings researchEnergy ManagementSustainabilityfinancial reportingasset management researchResearchManagement
Data Engineer,Shyftlabs,2-5 Yrs,Not disclosed,Mumbai,Analytical skillstableauData managementData modelingProduct life cycle managementpower bimicrosoftAnalytics
Jr Data Engineer,HTC Global Services,5-7 Yrs,Not disclosed,Mohali,Logistic regressiondata scienceCodingMachine learningSMSlinear regressionHousing financeRepresentative
Data Steward / Engineer - BIU Finance,Hdfc Bank,5-7 Yrs,Not disclosed,Chennai,Cloud computingData analysisUsageBusiness analyticsMySQLData qualityBusiness intelligencebig data
Data Engineer II,Resy,3-7 Yrs,Not disclosed,Hyderabad/Secunderabad,Supply chainAutomationAnalyticalConsultingData processingContinuous improvementAnalyticsSQL
Data Engineer,Study Group,3-6 Yrs,Not disclosed,Mumbai,Hypothesis testingGoogle AnalyticsTableauAdobe AnalyticsSQLStatistical modelingBusiness AnalyticsAffiliate Marketing
Data Engineer,Essencemediacom Canada,3-6 Yrs,Not disclosed,Chennai,ProcurementSupply chainAutomationSAPSales operationsBack officemicrosoftForecasting
Data Engineer,Eucloid Data Solutions,1-3 Yrs,Not disclosed,Chennai,UnixAnalystadvanced analyticsLinuxGCPConsultingMachine learningSilicon
Data Engineer,Argus India Price Reporting Services,1-6 Yrs,Not disclosed,Pune,BPOUnixBusiness servicesLinuxProduction supportWeb developmentInformation technologySQL
Data Engineer || Gurugram,Adglobal360,2-5 Yrs,Not disclosed,Mumbai,Financial statementsFund accountingFixed incomeAnalyticalBack officeAsset managementOperationsAnalytics
Data Engineer Trainee,Ignitho,2-6 Yrs,Not disclosed,Mumbai,OutboundWorkforce managementCompetitive analysisAnalyticalSoftware product developmentDigital marketingOperationsAnalytics
Data Engineer,Bayone Solutions,8-8 Yrs,Not disclosed,Remote,Career developmentAutomationManager Quality Assurancedata securityMachine learningManager TechnologyData structuresPython
Data Annotation Engineer,Data Radian Technologies,8-12 Yrs,Not disclosed,Pune,AIMLPythonArtificial IntelligenceData
data analysis,Diverse Lynx,3-5 Yrs,Not disclosed,Mohali,SANData analysisData modelingAnalyticalData qualityCRMPythonAnalysis
Data Analyst II,Postman,1-3 Yrs,Not disclosed,Pune,PythonRQuicksightSQL DatabaseTableauDataSQLDBMS
Data Analyst - Power BI,Gramener,1-3 Yrs,Not disclosed,Mumbai,Data analysisHP data protectorMachine learningData collectiondata privacyData qualityContinuous improvementForecasting
Data Analyst - Power BI,Gramener,3-6 Yrs,1-6 Lacs PA,Coimbatore,Computer scienceBusiness communicationData analysisData modelingAnalyticalMarket researchEconometricsForecasting
Business Intelligence Data Analyst,Zerofox,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,Computer scienceC++SimulationProject managementMachine learningBusiness intelligenceData miningAnalytics
Data Analyst - Inventory Control,Quince Corporate Services,1-3 Yrs,Not disclosed,Remote,PythonSQLLogistic Regressionpredictive modelingMachine Learningcommunication skillsDataPredictive
Business/Data Analyst,Danske IT Support Services India Pvt Ltd.,2-6 Yrs,12-14 Lacs PA,Coimbatore,Product managementData analysisSASData collectionData processingPredictive modelingData miningMATLAB
"BI and Data Analyst (Tableau, SQL)",Workday Inc,4-5 Yrs,Not disclosed,Mumbai,TensorflowAi AlgorithmsAi TechniquesMl AlgorithmsMachine LearningSoftware Architecture DesignProgrammingData
Business Analyst,Capco,3-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai",ClaimsCodingUnderwritingAnalyticalAsset managementAnalyticsFinancial servicesSQL
Data Analyst (Database Management),MRI Software,3-6 Yrs,Not disclosed,Pune,Supply chainData managementCodingGCPConsultingHealthcareLife sciencesForecasting
Data Analyst - Finance,Zerofox,3-6 Yrs,Not disclosed,Mumbai,business intelligence reportinghivedata scienceBusiness designsparkProgrammingGamingAnalytics
Manager - Data Analyst,Quince Corporate Services,2-5 Yrs,Unpaid,Remote,Power BiData ArchitectureAzure Cloud ServicesPythonAzure CloudData VisualizationSQL DatabaseData Modeling
Lead Business Analyst / Data Analyst,e con Systems,2-7 Yrs,Not disclosed,Remote,tableauSASMachine learningmicrosoft azuremodel developmentQlikViewOpen sourceAnalytics
Data Analyst (Advanced SQL Experience),Thoucentric,4-8 Yrs,2-7 Lacs PA,Hyderabad/Secunderabad,Computer scienceData managementBusiness analyticsAnalyticalConsultingMachine learningData miningBusiness intelligence
Data Analyst - Learning & Development,Getronics,2-5 Yrs,Not disclosed,Jaipur,MATLABData
Technical Project Manager Data Analyst | Neem Consulting,Neem Consulting Limited,2-6 Yrs,Not disclosed,Chennai,Computer scienceComputer visionInterpersonal skillsGITData managementCodingAccess managementMachine learning
Finance Data Lake - Data Analyst,JK Technology Services,5-7 Yrs,Not disclosed,Hyderabad/Secunderabad,Computer scienceAutomationAnalyticalMachine learningNatural language processingdata visualizationbiomedicalSQL
Principal Analyst - Data Quality,Gcc Services,3-6 Yrs,Not disclosed,Nagpur,Computer scienceC++PayrollUsageGoogle AnalyticsCodingMachine learningJavascript
Business / Data Analyst,Electricpe,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,Data LakesBig Data cloud platformsDatawarehouseDL frameworksAWSBig DataDlCloud Platform
Immediate Opportunity For Business DATA Analyst,Candor Software Solutions,3-5 Yrs,Not disclosed,Pune,Computer visionVersion controlGCPArtificial IntelligenceMachine learningInternshipForecastingSQL
Data Analyst - SQL,Referralboard,1-5 Yrs,Not disclosed,"Kochi/Cochin, Hyderabad/Secunderabad",deep learningAutomationProcess optimizationMarketing analyticsMachine learningManager TechnologyHealthcareNatural language processing
Data Analyst - SQL & Tableau,Referralboard,0-4 Yrs,Not disclosed,Mumbai,SANData analysisC++Operations researchFrenchExcelAnalyticalForecasting
Technical Data Analyst,Systechcorp Inc,1-2 Yrs,Not disclosed,Jaipur,data cleansingTelecomStatistical analysisGCPMachine learningHealthcaredata visualizationData mining
